State,Population_2014,Population_2015,Population_2016,Population_2017
Alabama,4843737,4853875,4863300,4874486
Alaska,737075,737980,741522,739795
Arizona,6732873,6828065,6931071,7044577
Arkansas,2968759,2977944,2988248,3004279
California,38586706,38993940,39296476,39399349
Colorado,5352637,5448819,5539738,5611885
Connecticut,3595697,3584730,3587685,3588184
Delaware,933131,941252,949495,960888
District of Columbia,663603,672228,681170,693972
Florida,19853880,20244914,20656589,21004517
Georgia,10071204,10214860,10313620,10429379
Hawaii,1415335,1425157,1428557,1427538
Idaho,1632248,1652824,1683140,1717715
Illinois,12885092,12839047,12821813,12778828
Indiana,6596019,6619680,6634007,6666818
Iowa,3110643,3121997,3130869,3145711
Kansas,2901861,2906721,2907289,2913123
Kentucky,4416992,4424611,4436974,4452268
Louisiana,4645938,4664616,4686157,4684333
Maine,1331217,1329453,1330232,1335907
Maryland,5960064,6006401,6024752,6045680
Massachusetts,6764864,6811779,6859819,6895917
Michigan,9932033,9917096,9950571,9973907
Minnesota,5452665,5482435,5525050,5566230
Mississippi,2991892,2989390,2985415,2984100
Missouri,6059130,6076204,6091176,6113532
Montana,1022657,1032073,1042520,1052967
Nebraska,1879955,1893714,1904760,1915796
Nevada,2818935,2887725,2939254,2998039
New Hampshire,1334257,1336350,1342795,1348576
New Jersey,8867277,8904413,8936574,8953517
New Mexico,2090236,2092434,2091630,2088070
New York,19653431,19747183,19745289,19745289
North Carolina,9937295,10035186,10146788,10263149
North Dakota,738736,756927,754859,755393
Ohio,11606573,11613423,11614373,11641879
Oklahoma,3879187,3909500,3921225,3930864
Oregon,3965447,4024634,4083129,4142776
Pennsylvania,12792392,12791181,12784227,12787209
Rhode Island,1056511,1056341,1057566,1057566
South Carolina,4826858,4894834,4960167,5024369
South Dakota,849670,857919,864289,872868
Tennessee,6544617,6595056,6651089,6715984
Texas,26963092,27429639,27862596,28304596
Utah,2938327,2990632,3051217,3101833
Vermont,625693,625216,623657,623657
Virginia,8315430,8367587,8411808,8456029
Washington,7057531,7160290,7288000,7405743
West Virginia,1850569,1841053,1831023,1815857
Wisconsin,5753199,5771337,5778708,5795483
Wyoming,583159,586102,585501,578931
